SSID_MAC주소,지하철역명,지하철호선ID
00:30:0d:7f:06:b0,수서,1003
02:07:89:0f:d6:9d,수서,1003
00:40:5a:bb:49:ab,수서,1003
02:07:89:0f:d6:a1,수서,1003
12:16:1f:03:83:42,장지,1008
00:40:5a:ba:df:b2,장지,1008
00:16:1f:03:7d:12,장지,1008
00:40:5a:bf:97:8a,마들,1007
12:16:1f:03:87:9f,마들,1007
00:40:5a:bc:49:c2,마들,1007
00:25:a6:a5:1b:33,마들,1007
00:40:5a:bf:97:8b,마들,1007
00:25:a6:a4:56:b2,마들,1007
00:40:5a:bc:49:c3,마들,1007
00:16:1f:03:5c:46,마들,1007
12:16:1f:03:5c:46,마들,1007
00:16:1f:03:87:9e,마들,1007
12:16:1f:03:87:9e,마들,1007
00:40:5a:bf:c7:da,마들,1007
12:16:1f:03:6c:47,수락산,1007
00:40:5a:e4:6a:8a,수락산,1007
12:16:1f:03:6c:46,수락산,1007
00:25:a6:a4:3b:db,수락산,1007
12:16:1f:03:80:a3,수락산,1007
00:25:a6:a4:59:e5,수락산,1007
00:25:a6:a4:63:31,수락산,1007
00:40:5a:e4:8b:ba,수락산,1007
12:16:1f:03:80:a2,수락산,1007
00:16:1f:03:6c:47,수락산,1007
00:40:5a:e4:6a:8b,수락산,1007
00:16:1f:03:6c:46,수락산,1007
00:25:a6:a4:3b:dc,수락산,1007
00:40:5a:e4:8b:bb,수락산,1007
00:16:1f:03:80:a2,수락산,1007
06:17:b2:04:68:22,수락산,1007
00:16:1f:03:80:a3,수락산,1007
04:17:b2:04:58:64,수락산,1007
04:17:b2:04:68:20,수락산,1007
12:16:1f:03:72:93,수락산,1007
12:16:1f:03:6f:be,신목동,1009
00:40:5a:bb:31:ea,신목동,1009
12:16:1f:03:34:0a,신목동,1009
00:40:5a:c0:59:7a,신목동,1009
00:25:a6:a5:0f:93,신목동,1009
12:16:1f:03:6e:6f,신목동,1009
12:16:1f:03:74:5f,신목동,1009
12:16:1f:03:6e:6e,신목동,1009
00:40:5a:c7:95:3a,신목동,1009
00:16:1f:03:6d:6b,신목동,1009
00:40:5a:bb:25:3b,신목동,1009
00:16:1f:03:6d:6a,신목동,1009
00:40:5a:bb:10:db,신목동,1009
00:16:1f:03:6f:bf,신목동,1009
00:16:1f:03:34:0b,신목동,1009
00:16:1f:03:34:0a,신목동,1009
00:40:5a:bb:31:eb,신목동,1009
00:16:1f:03:6f:be,신목동,1009
02:07:89:10:47:22,신목동,1009
00:25:a6:a5:0f:94,신목동,1009
00:16:1f:03:6e:6e,신목동,1009
00:07:89:14:6d:24,석촌,1008
00:16:1f:03:63:72,석촌,1008
00:16:1f:03:7f:a6,석촌,1008
00:16:1f:03:7f:a7,석촌,1008
00:40:5a:bb:1a:bb,석촌,1008
00:40:5a:bb:1a:ba,석촌,1008
00:16:1f:03:57:1b,석촌,1008
00:07:89:14:6d:10,석촌,1008
00:07:89:14:6d:09,송파,1008
02:07:89:14:6d:09,송파,1008
00:40:5a:bb:29:92,송파,1008
12:16:1f:03:6f:72,송파,1008
00:16:1f:03:6f:72,송파,1008
00:40:5a:bb:29:93,송파,1008
12:16:1f:03:6d:3a,송파,1008
00:07:89:14:6d:1d,송파,1008
02:07:89:14:6d:1d,송파,1008
00:16:1f:03:6d:3a,송파,1008
12:16:1f:03:6d:3b,송파,1008
00:09:b4:61:07:b2,흑석,1009
00:09:b4:61:07:4b,흑석,1009
00:09:b4:61:07:36,흑석,1009
00:40:5a:c3:73:8a,흑석,1009
02:09:b4:61:07:b2,흑석,1009
02:09:b4:61:07:4b,흑석,1009
