"환승시작 호선","환승시작역","환승종료 호선","환승종료역","소요시간"
"9","김포공항","5","김포공항","03:33"
"9","김포공항","5","김포공항","03:56"
"9","김포공항","5","김포공항","05:35"
"9","김포공항","airport","김포공항","00:49"
"9","김포공항","airport","김포공항","00:05"
"9","김포공항","airport","김포공항","00:05"
"9","김포공항","airport","김포공항","00:51"
"9","김포공항","","4928","07:31"
"9","김포공항","","4928","05:35"
"9","김포공항","","104C","05:35"
"9","김포공항","","104C","05:35"
"9","김포공항","seohae","김포공항","05:35"
"9","김포공항","seohae","김포공항","05:35"
"9","마곡나루","airport","마곡나루","06:51"
"9","마곡나루","airport","마곡나루","06:56"
"9","마곡나루","airport","마곡나루","05:48"
"9","마곡나루","airport","마곡나루","05:57"
"9","당산","2","당산","05:16"
"9","당산","2","당산","05:22"
"9","당산","2","당산","05:46"
"9","당산","2","당산","05:46"
"9","여의도","5","여의도","01:56"
"9","여의도","5","여의도","01:58"
"9","여의도","5","여의도","01:59"
"9","여의도","5","여의도","02:01"
"9","샛강","","4402","03:00"
"9","샛강","","4402","03:00"
"9","노량진","1","노량진","05:13"
"9","노량진","1","노량진","03:40"
"9","노량진","1","노량진","05:20"
"9","노량진","1","노량진","03:35"
"9","동작","4","동작","08:30"
"9","동작","4","동작","08:20"
"9","동작","4","동작","08:30"
"9","동작","4","동작","08:20"
"9","고속터미널","3","고속터미널","05:03"
"9","고속터미널","3","고속터미널","05:01"
"9","고속터미널","3","고속터미널","03:21"
"9","고속터미널","3","고속터미널","05:30"
"9","고속터미널","7","고속터미널","09:17"
"9","고속터미널","7","고속터미널","09:13"
"9","고속터미널","7","고속터미널","09:04"
"9","고속터미널","7","고속터미널","08:53"
"9","선정릉","bundang","선정릉","02:39"
"9","선정릉","bundang","선정릉","02:26"
"9","선정릉","bundang","선정릉","02:26"
"9","선정릉","bundang","선정릉","02:39"
"9","종합운동장","2","종합운동장","06:52"
"9","종합운동장","2","종합운동장","07:01"
"9","종합운동장","2","종합운동장","07:06"
"9","종합운동장","2","종합운동장","06:58"
"9","석촌","8","석촌","02:16"
"9","석촌","8","석촌","02:10"
"9","석촌","8","석촌","02:20"
"9","석촌","8","석촌","02:16"
"9","올림픽공원","5","올림픽공원","03:52"
"9","올림픽공원","5","올림픽공원","00:59"
"9","올림픽공원","5","올림픽공원","04:15"
"9","올림픽공원","5","올림픽공원","03:38"
"gyeongui","대곡","3","대곡","05:22"
"gyeongui","대곡","3","대곡","05:19"
"gyeongui","대곡","3","대곡","05:11"
"gyeongui","대곡","3","대곡","05:27"
"gyeongui","이촌","4","이촌","03:25"
"gyeongui","이촌","4","이촌","02:12"
"gyeongui","이촌","4","이촌","03:22"
"gyeongui","이촌","4","이촌","03:42"
"gyeongui","용산","1","용산","03:32"
"gyeongui","용산","1","용산","03:48"
"gyeongui","용산","1","용산","03:52"
"gyeongui","용산","1","용산","03:42"
"gyeongui","옥수","3","옥수","05:01"
"gyeongui","옥수","3","옥수","05:20"
"gyeongui","옥수","3","옥수","04:15"
"gyeongui","옥수","3","옥수","05:14"
"gyeongui","왕십리","2","왕십리","02:13"
"gyeongui","왕십리","2","왕십리","03:34"
"gyeongui","왕십리","2","왕십리","03:34"
"gyeongui","왕십리","2","왕십리","02:13"
"gyeongui","왕십리","5","왕십리","07:23"
"gyeongui","왕십리","5","왕십리","08:29"
"gyeongui","왕십리","5","왕십리","07:23"
"gyeongui","왕십리","5","왕십리","08:29"
"gyeongui","왕십리","","1847","02:38"
"gyeongui","왕십리","","1847","02:38"
"gyeongui","왕십리","","1845","02:38"
"gyeongui","왕십리","","1845","02:38"
"gyeongui","청량리","1","청량리","05:56"
"gyeongui","청량리","1","청량리","05:56"
"gyeongui","청량리","1","청량리","09:10"
"gyeongui","청량리","1","청량리","09:10"
"gyeongui","청량리","gyeongchun","청량리","02:25"
"gyeongui","청량리","gyeongchun","청량리","03:43"
