﻿SSID_MAC주소,SSID등록통신사,지하철역ID,지하철역명,지하철호선ID,WIFI신호세기
﻿12:16:1f:03:83:ae,﻿T wifi zone_secure,﻿1075075226,﻿야탑,﻿1075,﻿-27
﻿12:16:1f:03:83:af,﻿T wifi zone_secure,﻿1075075226,﻿야탑,﻿1075,﻿-42
﻿00:40:5a:c8:51:c2,﻿U+zone,﻿1075075226,﻿야탑,﻿1075,﻿-56
﻿00:07:89:14:61:91,﻿ollehWiFi,﻿1075075226,﻿야탑,﻿1075,﻿-67
﻿00:07:89:14:61:6d,﻿ollehWiFi,﻿1075075226,﻿야탑,﻿1075,﻿-65
﻿02:07:89:14:61:81,﻿ollehWiFi,﻿1075075226,﻿야탑,﻿1075,﻿-35
﻿00:16:1f:03:83:ae,﻿T wifi zone_1,﻿1075075226,﻿야탑,﻿1075,﻿-30
﻿00:40:5a:c8:51:c3,﻿FREE_U+zone,﻿1075075226,﻿야탑,﻿1075,﻿-53
﻿02:07:89:14:61:91,﻿ollehWiFi,﻿1075075226,﻿야탑,﻿1075,﻿-66
﻿00:25:a6:a4:d5:0b,﻿ollehWiFi,﻿1007000716,﻿공릉,﻿1007,﻿-61
﻿12:16:1f:03:6a:ff,﻿T wifi zone_secure,﻿1007000716,﻿공릉,﻿1007,﻿-68
﻿00:25:a6:a4:d5:0a,﻿ollehWiFi,﻿1007000716,﻿공릉,﻿1007,﻿-65
﻿12:16:1f:03:6a:fe,﻿T wifi zone_secure,﻿1007000716,﻿공릉,﻿1007,﻿-68
﻿00:40:5a:bc:38:72,﻿U+zone,﻿1007000716,﻿공릉,﻿1007,﻿-67
﻿12:16:1f:03:38:53,﻿T wifi zone_secure,﻿1007000716,﻿공릉,﻿1007,﻿-80
﻿12:16:1f:03:38:52,﻿T wifi zone_secure,﻿1007000716,﻿공릉,﻿1007,﻿-86
﻿12:16:1f:03:71:1a,﻿T wifi zone_secure,﻿1007000716,﻿공릉,﻿1007,﻿-90
﻿00:16:1f:03:6a:ff,﻿T wifi zone,﻿1007000716,﻿공릉,﻿1007,﻿-68
﻿00:16:1f:03:6a:fe,﻿T wifi zone_1,﻿1007000716,﻿공릉,﻿1007,﻿-67
﻿00:40:5a:bc:38:73,﻿FREE_U+zone,﻿1007000716,﻿공릉,﻿1007,﻿-68
﻿00:16:1f:03:38:53,﻿T wifi zone,﻿1007000716,﻿공릉,﻿1007,﻿-81
﻿00:16:1f:03:38:52,﻿T wifi zone_1,﻿1007000716,﻿공릉,﻿1007,﻿-85
﻿00:16:1f:03:71:1a,﻿T wifi zone_1,﻿1007000716,﻿공릉,﻿1007,﻿-88
﻿00:40:5a:bc:2a:e2,﻿U+zone,﻿1007000716,﻿공릉,﻿1007,﻿-87
﻿00:40:5a:bc:2a:e3,﻿FREE_U+zone,﻿1007000716,﻿공릉,﻿1007,﻿-84
﻿12:16:1f:03:71:1b,﻿T wifi zone_secure,﻿1007000716,﻿공릉,﻿1007,﻿-78
﻿00:25:a6:a4:e4:7d,﻿ollehWiFi,﻿1007000716,﻿공릉,﻿1007,﻿-86
﻿00:16:1f:03:71:1b,﻿T wifi zone,﻿1007000716,﻿공릉,﻿1007,﻿-80
﻿00:40:5a:bf:b5:12,﻿U+zone,﻿1007000716,﻿공릉,﻿1007,﻿-84
﻿12:16:1f:03:5f:6b,﻿T wifi zone_secure,﻿1007000716,﻿공릉,﻿1007,﻿-93
